TRADEDATE;OPEN;HIGH;LOW;CLOSE
05.10.2016;1325.27;1325.27;1325.27;1325.27
06.10.2016;1334.92;1334.92;1334.92;1334.92
07.10.2016;1332.02;1332.02;1332.02;1332.02
10.10.2016;1353.85;1353.85;1353.85;1353.85
11.10.2016;1337.47;1337.47;1337.47;1337.47
12.10.2016;1324.8;1324.8;1324.8;1324.8
13.10.2016;1315.67;1315.67;1315.67;1315.67
14.10.2016;1309.08;1309.08;1309.08;1309.08
17.10.2016;1301.44;1301.44;1301.44;1301.44
18.10.2016;1314.28;1314.28;1314.28;1314.28
19.10.2016;1325.32;1325.32;1325.32;1325.32
20.10.2016;1314.99;1314.99;1314.99;1314.99
21.10.2016;1313.52;1313.52;1313.52;1313.52
24.10.2016;1323.37;1323.37;1323.37;1323.37
25.10.2016;1334.68;1334.68;1334.68;1334.68
26.10.2016;1317.71;1317.71;1317.71;1317.71
27.10.2016;1321.91;1321.91;1321.91;1321.91
28.10.2016;1321.32;1321.32;1321.32;1321.32
31.10.2016;1316.67;1316.67;1316.67;1316.67
01.11.2016;1327.18;1327.18;1327.18;1327.18
02.11.2016;1295.83;1295.83;1295.83;1295.83
03.11.2016;1293.32;1293.32;1293.32;1293.32
07.11.2016;1283.69;1283.69;1283.69;1283.69
08.11.2016;1295.26;1295.26;1295.26;1295.26
09.11.2016;1318.82;1318.82;1318.82;1318.82
10.11.2016;1323.46;1323.46;1323.46;1323.46
11.11.2016;1291.92;1291.92;1291.92;1291.92
14.11.2016;1278.83;1278.83;1278.83;1278.83
15.11.2016;1305.66;1305.66;1305.66;1305.66
16.11.2016;1317.92;1317.92;1317.92;1317.92
17.11.2016;1326.19;1326.19;1326.19;1326.19
18.11.2016;1319.38;1319.38;1319.38;1319.38
21.11.2016;1351.48;1351.48;1351.48;1351.48
22.11.2016;1354.09;1354.09;1354.09;1354.09
23.11.2016;1354.24;1354.24;1354.24;1354.24
24.11.2016;1370.1;1370.1;1370.1;1370.1
25.11.2016;1356.32;1356.32;1356.32;1356.32
28.11.2016;1355.88;1355.88;1355.88;1355.88
29.11.2016;1339.42;1339.42;1339.42;1339.42
30.11.2016;1370.35;1370.35;1370.35;1370.35
01.12.2016;1394.83;1394.83;1394.83;1394.83
02.12.2016;1398.53;1398.53;1398.53;1398.53
05.12.2016;1423.69;1423.69;1423.69;1423.69
06.12.2016;1411.53;1411.53;1411.53;1411.53
07.12.2016;1420.56;1420.56;1420.56;1420.56
08.12.2016;1461.36;1461.36;1461.36;1461.36
09.12.2016;1478.34;1478.34;1478.34;1478.34
12.12.2016;1530;1530;1530;1530
13.12.2016;1550.73;1550.73;1550.73;1550.73
14.12.2016;1530.44;1530.44;1530.44;1530.44
15.12.2016;1516.12;1516.12;1516.12;1516.12
16.12.2016;1512.93;1512.93;1512.93;1512.93
19.12.2016;1505.61;1505.61;1505.61;1505.61
20.12.2016;1522.23;1522.23;1522.23;1522.23
21.12.2016;1520.02;1520.02;1520.02;1520.02
22.12.2016;1504.54;1504.54;1504.54;1504.54
23.12.2016;1494.01;1494.01;1494.01;1494.01
26.12.2016;1503;1503;1503;1503
27.12.2016;1520.81;1520.81;1520.81;1520.81
28.12.2016;1524.18;1524.18;1524.18;1524.18
29.12.2016;1532.53;1532.53;1532.53;1532.53
30.12.2016;1543.34;1543.34;1543.34;1543.34
03.01.2017;1592.88;1592.88;1592.88;1592.88
04.01.2017;1575.97;1575.97;1575.97;1575.97
05.01.2017;1580.82;1580.82;1580.82;1580.82
06.01.2017;1570.48;1570.48;1570.48;1570.48
09.01.2017;1553.98;1553.98;1553.98;1553.98
10.01.2017;1573.72;1573.72;1573.72;1573.72
11.01.2017;1547.87;1547.87;1547.87;1547.87
12.01.2017;1574.37;1574.37;1574.37;1574.37
13.01.2017;1551.47;1551.47;1551.47;1551.47
16.01.2017;1541.91;1541.91;1541.91;1541.91
17.01.2017;1549.17;1549.17;1549.17;1549.17
18.01.2017;1542.71;1542.71;1542.71;1542.71
19.01.2017;1522.58;1522.58;1522.58;1522.58
20.01.2017;1525.76;1525.76;1525.76;1525.76
