<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20160216,000000,358.5900000,359.3500000,358.1900000,358.1900000,12232104454
20160217,000000,358.1700000,358.3600000,357.1800000,358.3400000,6939758928
20160218,000000,358.5000000,360.4000000,358.4600000,360.3800000,11104297738
20160219,000000,360.3600000,361.4500000,360.3000000,361.1300000,10893893212
20160220,000000,361.2100000,361.4600000,360.4100000,361.3100000,40391554
20160222,000000,361.5700000,362.2200000,361.4500000,362.1300000,45907364
20160223,000000,362.1300000,362.1300000,362.1300000,362.1300000,2147483647
20160224,000000,362.4400000,363.0800000,362.2100000,362.5400000,8829785946
20160225,000000,362.6600000,365.0600000,362.5400000,362.5400000,21746822531
20160226,000000,365.2000000,366.7400000,365.0100000,366.4500000,13448548690
20160229,000000,366.7400000,367.7800000,366.3500000,366.6100000,4401171768
20160301,000000,366.7900000,369.2800000,366.7900000,369.2800000,22103414375
20160302,000000,369.5800000,370.8200000,369.5800000,370.7500000,0
20160303,000000,370.9300000,371.4000000,370.8800000,371.2800000,0
20160304,000000,371.3600000,372.5300000,371.3600000,372.4900000,0
20160307,000000,372.8100000,373.2000000,372.7200000,373.2000000,0
20160309,000000,373.3600000,373.8600000,372.8100000,373.4000000,0
20160310,000000,373.4400000,373.5000000,372.8300000,373.1100000,0
20160311,000000,373.1300000,373.6600000,372.3600000,372.3700000,0
20160314,000000,372.6900000,372.6900000,371.1500000,371.2900000,0
20160315,000000,371.5200000,371.6200000,370.8000000,370.8000000,0
20160316,000000,370.7700000,371.1100000,370.6300000,371.1100000,0
20160317,000000,371.2900000,374.1700000,371.2300000,374.1300000,0
20160318,000000,374.4900000,376.3600000,374.4700000,376.3400000,0
20160321,000000,376.6600000,376.8400000,375.8400000,376.2600000,0
20160322,000000,376.2900000,376.7500000,376.1300000,376.4400000,0
20160323,000000,376.5100000,376.9700000,375.9700000,375.9700000,0
20160324,000000,375.9400000,375.9500000,373.7800000,373.8400000,0
20160325,000000,374.6100000,375.8600000,374.6100000,375.7900000,0
20160328,000000,375.8700000,376.2500000,375.8400000,375.8900000,0
20160329,000000,375.9700000,376.2200000,375.2100000,375.2100000,0
20160330,000000,375.2600000,376.6500000,375.2600000,376.6500000,0
20160331,000000,376.8200000,377.3500000,376.7100000,376.8800000,0
20160401,000000,377.0500000,377.4000000,376.8300000,376.8300000,0
20160404,000000,377.2300000,377.2300000,376.2100000,376.7800000,0
20160405,000000,376.8300000,376.8600000,375.9800000,376.0000000,0
20160406,000000,375.9700000,376.6000000,375.9700000,376.1300000,0
20160407,000000,376.0100000,376.7200000,375.2300000,375.2300000,0
20160408,000000,375.4000000,375.9700000,375.0500000,375.7500000,0
20160411,000000,375.8200000,376.4900000,375.4900000,376.4500000,0
20160412,000000,376.6300000,376.9100000,376.6100000,376.8700000,0
20160413,000000,376.9000000,377.0300000,376.7000000,376.9500000,0
20160414,000000,377.1300000,377.1300000,376.5100000,376.7400000,0
20160415,000000,376.9000000,377.2000000,376.8000000,376.9400000,0
20160418,000000,377.0800000,377.0800000,375.9900000,376.5600000,0
