Date;Price;Open;Max;Min;Up/down
06.02.2006;8396.02;8289.46;8441.44;8289.46;1.25%
07.02.2006;8448.5;8415.74;8476.25;8399.74;0.63%
08.02.2006;8482.64;8450.69;8483.98;8335.7;0.40%
09.02.2006;8684.36;8494.26;8691.35;8494.26;2.38%
10.02.2006;8672.82;8684.39;8703.32;8641.7;-0.13%
13.02.2006;8670.09;8659.99;8698.54;8621.06;-0.03%
14.02.2006;8685.75;8667.97;8782.96;8650.57;0.18%
15.02.2006;8715.17;8676;8715.17;8588.8;0.34%
16.02.2006;8760.96;8712.33;8793.37;8666.54;0.53%
17.02.2006;9063.57;8773.85;9063.63;8773.85;3.45%
20.02.2006;9261.05;9079.51;9261.05;9079.51;2.18%
21.02.2006;9141.3;9239.91;9265.67;9141.3;-1.29%
22.02.2006;9290.98;9156.34;9296.05;9147.21;1.64%
26.02.2006;9610.51;9288.31;9611.78;9288.31;3.44%
27.02.2006;9604.42;9601.89;9694.83;9476.47;-0.06%
28.02.2006;9191.38;9581.31;9581.31;9179.24;-4.30%
01.03.2006;9174.42;9192.63;9268.45;9073.24;-0.18%
02.03.2006;9244.05;9156.33;9268.94;9156.33;0.76%
03.03.2006;9372.74;9245.99;9436.14;9245.99;1.39%
06.03.2006;9301.16;9340.8;9405.55;9293.19;-0.76%
07.03.2006;8755.4;9258.22;9258.22;8755.4;-5.87%
09.03.2006;8569.45;8770.83;8770.83;8499.39;-2.12%
10.03.2006;8508.05;8571.89;8599.53;8447.16;-0.72%
13.03.2006;8724.16;8529.15;8769.65;8522.09;2.54%
14.03.2006;8567.57;8722;8849.16;8490.92;-1.79%
15.03.2006;8669.99;8585.64;8670.31;8560.34;1.20%
16.03.2006;8650.99;8620.56;8664.89;8590.13;-0.22%
17.03.2006;8850.68;8640.88;8883.08;8640.88;2.31%
20.03.2006;8774.44;8819.23;8882.4;8759.62;-0.86%
21.03.2006;8678.76;8758.87;8758.87;8674.65;-1.09%
22.03.2006;8776.22;8689.44;8776.22;8667.7;1.12%
23.03.2006;8920.79;8788.43;8922.66;8788.43;1.65%
24.03.2006;8868.34;8924.04;8926.66;8790.47;-0.59%
27.03.2006;8946.42;8896.39;8995.76;8896.39;0.88%
28.03.2006;8835.27;8918.84;8923.02;8829.65;-1.24%
29.03.2006;8698.24;8843.72;8843.72;8691.55;-1.55%
30.03.2006;8948.52;8711.56;8948.52;8711.56;2.88%
31.03.2006;8958.64;8934.23;9008.08;8933.98;0.11%
03.04.2006;9037.28;8936.69;9038.15;8936.19;0.88%
04.04.2006;9091.37;9064.02;9122.73;9061.4;0.60%
05.04.2006;9248.68;9085.46;9250.17;9085.46;1.73%
06.04.2006;9258.05;9207.41;9334.89;9207.41;0.10%
07.04.2006;9430.45;9246.99;9447.16;9232.32;1.86%
10.04.2006;9654.07;9460.87;9665.61;9431.94;2.37%
11.04.2006;9680.65;9698.66;9860.29;9679.53;0.28%
12.04.2006;9719.76;9663.99;9719.76;9557.31;0.40%
13.04.2006;9614.01;9717.02;9764.67;9609.1;-1.09%
14.04.2006;9710.54;9636.36;9710.54;9629.76;1.00%
17.04.2006;9858.77;9711.14;9858.77;9711.14;1.53%
18.04.2006;9942.44;9841.22;9953.56;9841.22;0.85%
19.04.2006;10011.83;9924.61;10056.09;9924.61;0.70%
20.04.2006;9996.84;9975.1;10045.01;9968.12;-0.15%
21.04.2006;9990.5;9982.6;9990.5;9905.83;-0.06%
24.04.2006;10057.44;10016.72;10106.27;10016.72;0.67%
25.04.2006;10039.95;10012.93;10074.92;10002.69;-0.17%
26.04.2006;10294.11;10037.56;10294.11;10037.56;2.53%
27.04.2006;10016.13;10268.74;10411.77;9958.11;-2.70%
28.04.2006;10197.14;9992.98;10197.14;9978.46;1.81%
02.05.2006;10528.08;10165.55;10529.19;10165.55;3.25%
03.05.2006;10561.44;10516.35;10646.22;10516.35;0.32%
04.05.2006;10624.56;10526.85;10624.56;10477.13;0.60%
05.05.2006;10704.25;10650.72;10757.3;10650.72;0.75%
06.05.2006;10768.28;10671.72;10768.28;10669.83;0.60%
10.05.2006;10595.28;10763.11;10930.69;10587.79;-1.61%
11.05.2006;10481.02;10579.63;10708.27;10243.97;-1.08%
12.05.2006;10235.17;10496.25;10496.25;10233.77;-2.35%
15.05.2006;9630.08;10183.36;10187.48;9590.82;-5.91%
16.05.2006;9596.48;9605.62;9640.73;9263.62;-0.35%
17.05.2006;9377.17;9633.71;9807.43;9376.32;-2.29%
18.05.2006;9035.99;9316.83;9316.83;8956.64;-3.64%
19.05.2006;8823.78;9083.61;9193.9;8823.78;-2.35%
22.05.2006;8004.9;8796.1;8798.53;7984.56;-9.28%
23.05.2006;8576.13;8042.79;8580.88;7990.15;7.14%
24.05.2006;8305.04;8541.18;8541.18;8218.2;-3.16%
25.05.2006;8657.1;8311.42;8662.2;8279.04;4.24%
26.05.2006;9090.38;8673.84;9098.47;8673.84;5.00%
29.05.2006;9070.89;9090.34;9268.47;9070.89;-0.21%
30.05.2006;8989.21;9082.7;9119.94;8853.49;-0.90%
31.05.2006;8866.55;8959.94;8959.94;8760.06;-1.36%
01.06.2006;8843.17;8847.47;8863.15;8777.21;-0.26%
02.06.2006;9338.44;8915.18;9348.11;8915.18;5.60%
05.06.2006;9328.76;9307.29;9432.99;9307.29;-0.10%
06.06.2006;8828.59;9260.73;9260.73;8828.59;-5.36%
07.06.2006;8604.85;8836.23;8872.06;8548.52;-2.53%
08.06.2006;8220.65;8609.48;8609.48;8220.65;-4.46%
09.06.2006;8235.76;8232.25;8371.03;8147.87;0.18%
13.06.2006;7499.41;8252.87;8252.87;7497.11;-8.94%
14.06.2006;7761.43;7519.34;7761.43;7424.76;3.49%
15.06.2006;8188.8;7781.15;8188.8;7781.15;5.51%
16.06.2006;8085.35;8186.58;8448.8;7998.96;-1.26%
19.06.2006;8177.21;8070.58;8205.3;8029.68;1.14%
20.06.2006;8274.92;8187.01;8274.92;8043.09;1.19%
21.06.2006;8280.62;8300.33;8368.32;8203.33;0.07%
22.06.2006;8226.51;8287.51;8451.48;8226.51;-0.65%
23.06.2006;8157.65;8210.12;8222.13;8113.25;-0.84%
26.06.2006;8203.05;8183.46;8203.05;8134.68;0.56%
27.06.2006;8513.61;8226.86;8527.32;8226.86;3.79%
28.06.2006;8595.79;8463.45;8595.79;8390.57;0.97%
29.06.2006;8810.95;8618.66;8819.9;8618.66;2.50%
30.06.2006;9101.18;8822.84;9152.51;8822.84;3.29%
