TRADEDATE;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
27.12.2011;9505,03;9539,27;9549,24;9439,61;5735431453,3984;;;2;4246461677282,66;RUB;999999,999999
26.12.2011;9539,27;9427,26;9546,09;9406,98;4095100600,7632;;;2;4261760938223,35;RUB;999999,999999
23.12.2011;9427,26;9502,02;9542,36;9417,16;6532487604,7194;;;2;4211717367046,5;RUB;999999,999999
22.12.2011;9502,02;9495,77;9561,95;9405,86;8276324659,7002;;;2;4245118071654,62;RUB;999999,999999
21.12.2011;9495,77;9664,89;9739,5;9469,66;14373313162,3418;;;2;4242325045326,64;RUB;999999,999999
20.12.2011;9664,89;9470,28;9672,67;9364,8;8015612996,2042;;;2;4317879946572,17;RUB;999999,999999
19.12.2011;9470,28;9466,97;9553,18;9294,44;7949009597,1027;;;2;4230938429464,85;RUB;999999,999999
16.12.2011;9466,97;9537,68;9641,01;9411,29;12120275336,1097;;;2;4229458627171,82;RUB;999999,999999
15.12.2011;9537,68;9366,56;9553,33;9198,31;15994888970,24;;;2;4235974996734,09;RUB;999999,999999
14.12.2011;9366,56;9449,61;9597,71;9300,86;12650194957,2035;;;2;4159978071451,1;RUB;999999,999999
13.12.2011;9449,61;9227,06;9456,98;9054,18;13098997744,1546;;;2;4196860382049,51;RUB;999999,999999
12.12.2011;9227,06;9522,85;9740,64;9194,95;11246327180,5475;;;2;4098021057052,48;RUB;999999,999999
09.12.2011;9522,85;9988,17;9988,17;9508,26;13920703277,3316;;;2;4229391035220,19;RUB;999999,999999
08.12.2011;9988,17;9916,48;10171,48;9916,48;11286776054,3211;;;2;4436053958938,68;RUB;999999,999999
07.12.2011;9916,48;9985,45;10080,72;9833,39;12694401268,1137;;;2;4404214204068,87;RUB;999999,999999
06.12.2011;9985,45;10405,56;10466,28;9951,45;12748639079,6862;;;2;4434844291164,65;RUB;999999,999999
05.12.2011;10405,56;10321,25;10431,24;10281,37;9830686018,279;;;2;4621429578411,71;RUB;999999,999999
02.12.2011;10321,25;10290,17;10463,34;10223,84;15378603882,0072;;;2;4583981187229,17;RUB;999999,999999
01.12.2011;10290,17;10246,37;10414,5;10239,71;14186498610,5427;;;2;4570177988264,02;RUB;999999,999999
30.11.2011;10246,37;9910,18;10254,18;9828,33;13846243023,2273;;;2;4550727525900,61;RUB;999999,999999
29.11.2011;9910,18;9979,88;10099,56;9859,01;11769168772,6018;;;2;4401414692527,5;RUB;999999,999999
28.11.2011;9979,88;9581,55;9994,28;9510,05;10475503973,954;;;2;4432369649286,56;RUB;999999,999999
25.11.2011;9581,55;9485,8;9588,26;9271,21;11312138689,5031;;;2;4255459818873,56;RUB;999999,999999
24.11.2011;9485,8;9570,53;9643,34;9480,51;11554825246,5817;;;2;4212933611235,59;RUB;999999,999999
23.11.2011;9570,53;9548,42;9685,87;9383,52;15123276039,505;;;2;4250564645948,04;RUB;999999,999999
22.11.2011;9548,42;9509,83;9704,55;9355,97;12033433773,9186;;;2;4240744970867,75;RUB;999999,999999
21.11.2011;9509,83;9987,51;10002,01;9488,92;13966132203,0386;;;2;4223605509150,86;RUB;999999,999999
18.11.2011;9987,51;10099,57;10108,39;9855,19;12047149913,8109;;;2;4435759573580,02;RUB;999999,999999
17.11.2011;10099,57;10105,13;10201,15;9866,82;15400027279,5495;;;2;4485527578051,46;RUB;999999,999999
16.11.2011;10105,13;10123,07;10214,79;9961,16;13461998484,6009;;;2;4487998132352,11;RUB;999999,999999
15.11.2011;10123,07;10072,55;10230,82;9891,8;13734087537,906;;;2;4495965379544,83;RUB;999999,999999
14.11.2011;10072,55;10105,53;10280,28;10038,31;11796666880,1771;;;2;4473529091167,77;RUB;999999,999999
11.11.2011;10105,53;10145,65;10200,63;9966;12571092970,3455;;;2;4488175857141,91;RUB;999999,999999
10.11.2011;10145,65;10007,22;10210,77;9801,43;12788176503,5583;;;2;4505993151785,63;RUB;999999,999999
09.11.2011;10007,22;10364,01;10500;9953,5;14527167293,0915;;;2;4444512698474,2;RUB;999999,999999
08.11.2011;10364,01;10339,76;10455,53;10267,74;10326791874,3765;;;2;4602973175951,57;RUB;999999,999999
07.11.2011;10339,76;10207,41;10343,42;10081,33;11045710550,0455;;;2;4592202137541,44;RUB;999999,999999
03.11.2011;10207,41;10111,65;10276,31;9740,94;16627063035,6891;;;2;4533421491336,91;RUB;999999,999999
02.11.2011;10111,65;9883,93;10122,09;9808,57;11973636460,854;;;2;4490892879157,99;RUB;999999,999999
01.11.2011;9883,93;10191,43;10203,56;9734,75;14052641170,054;;;2;4389754903737,63;RUB;999999,999999
31.10.2011;10191,43;10401,11;10493,06;10148,7;12108180147,1267;;;2;4526326088298,25;RUB;999999,999999
28.10.2011;10401,11;10386,99;10577,31;10277,32;12521709938,7395;;;2;4619450973609,16;RUB;999999,999999
27.10.2011;10386,99;10173,72;10559,15;10143,94;11909776053,6481;;;2;4613180843237,99;RUB;999999,999999
26.10.2011;10173,72;9903,39;10272,41;9850;14017114814,0596;;;2;4518460068463,57;RUB;999999,999999
25.10.2011;9903,39;10053,88;10130,04;9800,83;11467469635,4421;;;2;4398400914557,17;RUB;999999,999999
24.10.2011;10053,88;9823,66;10066,45;9809,66;10952455754,6819;;;2;4465236800795,19;RUB;999999,999999
21.10.2011;9823,66;9629,54;9833,95;9546,66;10569207547,1393;;;2;4362988530296,91;RUB;999999,999999
20.10.2011;9629,54;9657,88;9705,99;9455,02;13370155566,4258;;;2;4276775588999,56;RUB;999999,999999
19.10.2011;9657,88;9660,09;9761,14;9532,18;11770312879,4788;;;2;4289359549493,52;RUB;999999,999999
18.10.2011;9660,09;9551,15;9688,74;9377,03;12739078097,1321;;;2;4290340628688,04;RUB;999999,999999
17.10.2011;9551,15;9748,88;9879,62;9504,22;14578077162,8254;;;2;4241959357490,78;RUB;999999,999999
14.10.2011;9748,88;9448,66;9774,87;9423,92;11899950399,0109;;;2;4329776931963,73;RUB;999999,999999
13.10.2011;9448,66;9497,76;9620,82;9390,01;14513144769,6929;;;2;4196440051870,44;RUB;999999,999999
12.10.2011;9497,76;9253;9511,13;9178,12;10998181450,0475;;;2;4218245181696,22;RUB;999999,999999
11.10.2011;9253;9333,49;9346,46;9121,66;14446772306,2173;;;2;4109542777236,33;RUB;999999,999999
10.10.2011;9333,49;9114,32;9343,08;8986,3;11038421964,3811;;;2;4145286861489,68;RUB;999999,999999
07.10.2011;9114,32;8892,47;9229,14;8881,96;10636875766,023;;;2;4047949432970,48;RUB;999999,999999
06.10.2011;8892,47;8513,9;8925,59;8491,38;13440439384,8163;;;2;3949419088906,78;RUB;999999,999999
05.10.2011;8513,9;8582,66;8793,49;8395,71;9731558696,8025;;;2;3781283803472,47;RUB;999999,999999
04.10.2011;8582,66;9074,98;9133,19;8367,08;12677782278,5696;;;2;3811823126498,5;RUB;999999,999999
03.10.2011;9074,98;9303,84;9323,98;8946,88;11517779455,5196;;;2;4030478650944,19;RUB;999999,999999
30.09.2011;9303,84;9578,79;9653,52;9143,31;14838997566,9793;;;2;4132118940007,05;RUB;999999,999999
29.09.2011;9578,79;9369,48;9665,02;9208,37;12405646992,9714;;;2;4254232952195,51;RUB;999999,999999
28.09.2011;9369,48;9383,84;9498,47;9262,31;13411999173,7025;;;2;4161274844251,98;RUB;999999,999999
27.09.2011;9383,84;9139,88;9441,02;9056,29;13270236307,0336;;;2;4167651486111,08;RUB;999999,999999
26.09.2011;9139,88;9015,98;9350,34;8694,88;10600868901,0026;;;2;4059299889721,09;RUB;999999,999999
23.09.2011;9015,98;9442,99;9442,99;8776,74;18235649452,1234;;;2;4004273448263,63;RUB;999999,999999
22.09.2011;9442,99;10243,21;10316,67;9426,72;15657076821,9788;;;2;4193919379538,91;RUB;999999,999999
21.09.2011;10243,21;10341,33;10371,58;10223,29;15881471780,5177;;;2;4549324325517,1;RUB;999999,999999
20.09.2011;10341,33;10134,69;10366,92;10134,69;16930867881,7542;;;2;4592900606348,02;RUB;999999,999999
19.09.2011;10134,69;10243,03;10324,89;10074,97;14022361494,6319;;;2;4501126525818,93;RUB;999999,999999
16.09.2011;10243,03;10330,68;10441,8;10190,87;15483785921,3166;;;2;4549241910731,19;RUB;999999,999999
