Date,ALRS.ME,CHMF.ME,FIVE.ME,GAZP.ME,GMKN.ME,LKOH.ME,MGNT.ME,MTSS.ME,NVTK.ME,ROSN.ME,SBER.ME,SNGS.ME,TATN.ME,VTBR.ME,YNDX.ME
2018-04-24,87.75,965.2000122070312,1906.5,144.13999938964844,10860.0,3999.5,4729.0,289.3999938964844,743.7000122070312,352.25,223.0,29.25,661.0,0.05299999937415123,2105.5
2018-04-25,88.0,978.4000244140625,1800.0,142.6999969482422,10803.0,4029.0,4786.0,289.1499938964844,740.4000244140625,370.0,220.4499969482422,29.114999771118164,666.0,0.0528700016438961,2025.0
2018-04-26,88.05000305175781,996.4000244140625,1740.0,145.47999572753906,10988.0,4140.0,4830.0,295.79998779296875,760.0,375.0,220.6999969482422,29.850000381469727,680.0,0.052400000393390656,2061.0
2018-04-27,89.0,993.9000244140625,1800.0,144.5,10989.0,4212.0,4875.0,295.1000061035156,770.7999877929688,380.0,223.91000366210938,29.69499969482422,685.25,0.052570000290870667,2015.5
2018-04-30,89.61000061035156,1011.9000244140625,1795.5,145.92999267578125,10814.0,4156.5,4902.0,296.3999938964844,770.0,383.0,226.99000549316406,29.440000534057617,671.0499877929688,0.05397000163793564,2097.5
2018-05-02,87.5199966430664,1000.0,1815.0,144.94000244140625,11040.0,4141.0,4893.0,292.29998779296875,758.2000122070312,401.04998779296875,229.02000427246094,29.31999969482422,671.0,0.05339999869465828,2215.0
2018-05-03,88.58000183105469,980.7999877929688,1801.0,143.4600067138672,10905.0,4092.0,4824.0,290.20001220703125,748.0,389.3999938964844,229.39999389648438,29.31999969482422,652.25,0.05291000008583069,2130.5
2018-05-04,88.0999984741211,975.5,1835.0,143.72999572753906,10996.0,4108.0,4892.0,290.0,765.7000122070312,386.75,228.5500030517578,29.405000686645508,659.3499755859375,0.05274999886751175,2107.0
2018-05-07,89.95999908447266,978.2999877929688,1856.5,144.0500030517578,11150.0,4121.0,4870.0,291.45001220703125,754.0,388.25,229.86000061035156,29.30500030517578,654.1500244140625,0.05276999995112419,2152.5
2018-05-08,89.61000061035156,991.0,1845.0,145.47999572753906,11094.0,4180.0,4840.0,290.0,754.0,393.04998779296875,226.6999969482422,29.579999923706055,666.9500122070312,0.05270000174641609,2127.5
2018-05-10,87.80000305175781,973.7000122070312,1802.0,146.3800048828125,10730.0,4235.0,4860.0,289.8500061035156,765.0,395.70001220703125,233.6999969482422,29.389999389648438,671.7999877929688,0.05225000157952309,2190.0
2018-05-11,87.88999938964844,985.5999755859375,1791.5,149.89999389648438,10722.0,4351.0,4910.0,288.8500061035156,771.2000122070312,400.29998779296875,235.57000732421875,29.565000534057617,675.7000122070312,0.05204999819397926,2202.0
2018-05-14,87.47000122070312,998.2000122070312,1854.0,150.97999572753906,10778.0,4407.5,4985.0,290.0,774.2999877929688,403.54998779296875,237.8000030517578,30.0,685.25,0.05249999836087227,2186.0
2018-05-15,88.75,986.0,1911.0,149.1999969482422,10915.0,4392.0,5045.0,289.0,772.2000122070312,394.8500061035156,231.38999938964844,29.760000228881836,679.5499877929688,0.051500000059604645,2118.5
2018-05-16,91.18000030517578,990.0,1920.5,148.57000732421875,10792.0,4390.5,5166.0,289.1499938964844,768.7999877929688,391.3500061035156,229.55999755859375,29.69499969482422,675.0499877929688,0.05139999836683273,2118.0
2018-05-17,93.29000091552734,990.9000244140625,1907.0,148.08999633789062,10792.0,4375.5,5155.0,293.3500061035156,772.2000122070312,383.54998779296875,227.5500030517578,29.81999969482422,675.4500122070312,0.05146000161767006,2131.0
2018-05-18,92.43000030517578,996.0,1882.0,145.97000122070312,10751.0,4423.5,5089.0,292.3999938964844,768.2999877929688,385.5,223.1300048828125,29.71500015258789,680.9500122070312,0.05129000172019005,2114.0
2018-05-21,91.98999786376953,988.9000244140625,1865.5,147.58999633789062,10955.0,4408.5,5198.0,295.04998779296875,778.5999755859375,389.70001220703125,226.5,29.649999618530273,688.4000244140625,0.05152999982237816,2149.5
2018-05-22,91.0999984741211,986.5999755859375,1844.0,146.5,10998.0,4360.0,5260.0,297.29998779296875,770.0,385.54998779296875,225.60000610351562,29.7450008392334,676.0499877929688,0.05138999968767166,2122.5
2018-05-23,90.87000274658203,978.2999877929688,1871.5,146.05999755859375,10850.0,4263.0,5185.0,291.1000061035156,761.2999877929688,377.70001220703125,221.0,29.420000076293945,664.2999877929688,0.05115000158548355,2086.5
2018-05-24,92.23999786376953,995.2999877929688,1813.0,145.27000427246094,10880.0,4230.0,5265.0,286.5,757.2000122070312,378.0,222.00999450683594,29.165000915527344,664.0,0.05121000111103058,2094.0
2018-05-25,93.4000015258789,1018.0999755859375,1855.0,145.2899932861328,11074.0,4220.5,5256.0,286.3500061035156,809.9000244140625,378.1000061035156,220.75999450683594,29.079999923706055,669.4500122070312,0.05110999941825867,2089.5
2018-05-28,93.04000091552734,1006.0,1915.0,145.08999633789062,11170.0,4290.0,5185.0,287.1499938964844,802.5,379.54998779296875,220.89999389648438,28.875,663.3499755859375,0.05144999921321869,2102.5
2018-05-29,91.0199966430664,1004.4000244140625,1822.0,144.07000732421875,11140.0,4219.0,5081.0,283.3500061035156,828.0,382.6499938964844,219.2899932861328,28.295000076293945,674.75,0.051339998841285706,2070.0
2018-05-30,89.0999984741211,1003.4000244140625,1786.5,143.75,11120.0,4239.0,5161.0,283.8999938964844,822.0,382.8500061035156,220.5,28.604999542236328,675.7000122070312,0.05122999846935272,2065.5
2018-05-31,88.30000305175781,1002.7999877929688,1808.0,145.0,11111.0,4209.0,5111.0,282.3999938964844,838.2000122070312,385.29998779296875,222.36000061035156,28.6299991607666,666.5,0.049890000373125076,2076.5
2018-06-01,89.30000305175781,994.7999877929688,1748.0,144.0,11150.0,4205.5,5112.0,283.1000061035156,838.4000244140625,382.54998779296875,220.0,28.860000610351562,665.5499877929688,0.04740000143647194,2137.0
