<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20180924,000000,1539.0000000,1542.0000000,1537.5000000,1541.5000000,3575
20180925,000000,1542.5000000,1550.5000000,1538.0000000,1549.5000000,8330
20180926,000000,1579.5000000,1579.5000000,1538.0000000,1542.5000000,5528
20180927,000000,1543.5000000,1563.5000000,1543.5000000,1563.5000000,2561
20180928,000000,1559.5000000,1577.5000000,1559.5000000,1577.5000000,3263
20181001,000000,1600.0000000,1600.0000000,1500.0000000,1572.0000000,3154
20181002,000000,1600.0000000,1700.0000000,1499.0000000,1558.0000000,2539
20181003,000000,1565.0000000,1590.0000000,1563.5000000,1590.0000000,10103
20181004,000000,1580.5000000,1587.0000000,1567.0000000,1571.0000000,6096
20181005,000000,1564.5000000,1567.5000000,1554.0000000,1564.0000000,2644
20181008,000000,1564.0000000,1571.5000000,1554.0000000,1567.0000000,7753
20181009,000000,1575.5000000,1581.0000000,1566.0000000,1566.0000000,5689
20181010,000000,1585.0000000,1585.0000000,1541.0000000,1541.0000000,2790
20181011,000000,1530.0000000,1530.0000000,1508.0000000,1515.0000000,2024
20181012,000000,1529.0000000,1538.0000000,1529.0000000,1538.0000000,2109
20181015,000000,1538.0000000,1538.0000000,1526.5000000,1531.5000000,2255
20181016,000000,1531.5000000,1544.5000000,1523.0000000,1544.5000000,6936
20181017,000000,1550.5000000,1552.0000000,1536.0000000,1536.0000000,3689
20181018,000000,1536.0000000,1540.0000000,1520.0000000,1520.0000000,225
20181019,000000,1522.0000000,1522.0000000,1505.0000000,1505.0000000,13036
20181022,000000,1511.5000000,1511.5000000,1478.5000000,1478.5000000,7180
20181023,000000,1475.0000000,1484.0000000,1469.0000000,1482.0000000,1677
20181024,000000,1483.5000000,1498.0000000,1479.0000000,1497.5000000,5439
20181025,000000,1485.5000000,1492.0000000,1484.0000000,1491.0000000,8295
20181026,000000,1484.0000000,1484.0000000,1458.5000000,1465.5000000,8948
20181029,000000,1470.5000000,1483.5000000,1468.0000000,1482.0000000,1582
20181030,000000,1475.0000000,1477.5000000,1460.5000000,1464.5000000,6379
20181031,000000,1486.0000000,1497.0000000,1486.0000000,1496.0000000,1568
20181101,000000,1501.0000000,1501.0000000,1494.0000000,1494.5000000,914
20181102,000000,1470.5000000,1521.5000000,1470.5000000,1517.0000000,1720
20181106,000000,1524.0000000,1537.5000000,1524.0000000,1537.5000000,3808
20181107,000000,1536.0000000,1554.0000000,1527.5000000,1553.0000000,5478
20181108,000000,1553.0000000,1561.5000000,1550.5000000,1550.5000000,1487
20181109,000000,1536.5000000,1537.0000000,1522.5000000,1522.5000000,6933
20181112,000000,1561.0000000,1561.0000000,1524.5000000,1528.0000000,1409
20181113,000000,1526.5000000,1526.5000000,1516.0000000,1526.0000000,4254
20181114,000000,1515.0000000,1515.0000000,1500.0000000,1514.5000000,3714
20181115,000000,1517.5000000,1524.5000000,1517.5000000,1519.0000000,414
20181116,000000,1519.0000000,1525.5000000,1508.5000000,1508.5000000,1150
20181119,000000,1520.0000000,1522.0000000,1511.5000000,1511.5000000,4226
20181120,000000,1505.0000000,1505.0000000,1483.5000000,1483.5000000,10624
20181121,000000,1489.0000000,1504.5000000,1489.0000000,1504.5000000,3535
20181122,000000,1502.0000000,1508.0000000,1498.0000000,1508.0000000,7459
20181123,000000,1501.0000000,1501.0000000,1486.0000000,1488.0000000,5909
20181126,000000,1483.0000000,1483.0000000,1454.0000000,1462.5000000,6971
20181127,000000,1445.0000000,1481.0000000,1445.0000000,1481.0000000,526
20181128,000000,1495.0000000,1517.5000000,1494.5000000,1513.0000000,3893
20181129,000000,1518.0000000,1528.5000000,1511.0000000,1523.0000000,4927
20181130,000000,1522.0000000,1522.0000000,1512.5000000,1513.0000000,2978
20181203,000000,1516.5000000,1551.5000000,1516.5000000,1551.5000000,6205
20181204,000000,1544.0000000,1553.5000000,1544.0000000,1548.5000000,783
20181205,000000,1538.0000000,1548.5000000,1537.0000000,1548.5000000,4882
20181206,000000,1543.0000000,1546.5000000,1523.0000000,1530.0000000,7246
20181207,000000,1537.5000000,1545.0000000,1535.0000000,1544.5000000,1637
20181210,000000,1544.0000000,1544.0000000,1524.0000000,1527.5000000,1858
20181211,000000,1539.0000000,1539.0000000,1515.0000000,1538.0000000,321
20181212,000000,1511.0000000,1559.5000000,1511.0000000,1550.0000000,61
20181213,000000,1535.0000000,1535.0000000,1451.5000000,1460.0000000,2339
20181214,000000,1458.0000000,1458.0000000,1448.5000000,1448.5000000,3484
20181217,000000,1495.0000000,1498.5000000,1448.5000000,1489.0000000,2135
20181218,000000,1466.0000000,1472.5000000,1438.0000000,1456.0000000,27958
20181219,000000,1483.0000000,1489.0000000,1453.0000000,1467.0000000,182
20181220,000000,1450.0000000,1487.5000000,1445.0000000,1465.0000000,180
20181221,000000,1464.0000000,1468.0000000,1455.5000000,1465.0000000,120
20181224,000000,1493.0000000,1493.5000000,1414.5000000,1450.0000000,69
20181225,000000,1450.0000000,1492.5000000,1428.0000000,1433.0000000,108
20181226,000000,1461.0000000,1461.0000000,1442.0000000,1442.0000000,18
20181227,000000,1461.5000000,1465.5000000,1460.0000000,1460.0000000,180
20181228,000000,1475.0000000,1480.0000000,1475.0000000,1475.5000000,13
20181229,000000,1486.5000000,1487.0000000,1480.5000000,1485.0000000,11
